director,count
Jan Suter,21
Raúl Campos,19
Marcus Raboy,16
Jay Karas,15
Cathy Garcia-Molina,13
Martin Scorsese,12
Youssef Chahine,12
Jay Chapman,12
Steven Spielberg,10
David Dhawan,9
Anurag Kashyap,9
Shannon Hartman,9
Johnnie To,8
Yılmaz Erdoğan,8
Quentin Tarantino,8
Ryan Polito,8
Lance Bangs,8
Justin G. Dyck,8
Hakan Algül,8
Umesh Mehra,8
